t_s,current_a,voltage_v,power_w
0.028307800,0.00799831627393,3,0.0239949488218
0.040333500,0.00799727335453,3,0.0239918200636
0.055893500,0.00799813188375,3,0.0239943956513
0.071380400,0.00799875652944,3,0.0239962695883
0.086377600,0.00800032396814,3,0.0240009719044
0.101733200,0.00800020625412,3,0.0240006187624
0.117879500,0.00799856597674,3,0.0239956979302
0.133492200,0.00800150951674,3,0.0240045285502
0.149801200,0.00800019434328,3,0.0240005830298
0.165630100,0.00800107132853,3,0.0240032139856
0.180916800,0.00800277506894,3,0.0240083252068
0.196482700,0.00800052494836,3,0.0240015748451
0.212420700,0.00800136990944,3,0.0240041097283
0.228487600,0.00800040694937,3,0.0240012208481
0.244871600,0.00800206445452,3,0.0240061933636
0.260649800,0.00799826464874,3,0.0239947939462
0.276554100,0.00800137692114,3,0.0240041307634
0.293163500,0.00799820149054,3,0.0239946044716
0.307797100,0.00800187013359,3,0.0240056104008
0.323894200,0.00799983941853,3,0.0239995182556
0.339573000,0.00800479213893,3,0.0240143764168
0.354771900,0.00799803563989,3,0.0239941069197
0.369850200,0.00799762524845,3,0.0239928757453
0.384861600,0.00799784618752,3,0.0239935385625
0.401187100,0.00800070669647,3,0.0240021200894
0.416711500,0.00800113509321,3,0.0240034052796
0.432183400,0.00800294383863,3,0.0240088315159
0.447195900,0.00800290965181,3,0.0240087289554
0.463256700,0.00800060443547,3,0.0240018133064
0.478807800,0.0080000183708,3,0.0240000551124
0.494326400,0.00800129141609,3,0.0240038742483
0.510172500,0.00800110941169,3,0.0240033282351
0.526206800,0.00800319896946,3,0.0240095969084
0.541904200,0.00800065925962,3,0.0240019777789
0.557864800,0.00800136149763,3,0.0240040844929
0.573670400,0.00799943465878,3,0.0239983039763
0.589710200,0.00799951954834,3,0.023998558645
0.605689500,0.0080018967002,3,0.0240056901006
0.621370900,0.00799952538421,3,0.0239985761526
0.636934400,0.00799972439893,3,0.0239991731968
0.651913100,0.00799662133923,3,0.0239898640177
0.666863400,0.00800058741887,3,0.0240017622566
0.682639000,0.00799994053726,3,0.0239998216118
0.698575200,0.00800058567926,3,0.0240017570378
0.714158100,0.0079993209936,3,0.0239979629808
0.729465700,0.00799955942862,3,0.0239986782859
0.744557300,0.00799905980326,3,0.0239971794098
0.760020900,0.00800074582374,3,0.0240022374712
0.775987200,0.00799979207036,3,0.0239993762111
0.791610300,0.00799845506706,3,0.0239953652012
0.807037400,0.00800000292354,3,0.0240000087706
0.822677500,0.00799942039741,3,0.0239982611922
0.838767300,0.00799922054529,3,0.0239976616359
0.853862500,0.00800134903742,3,0.0240040471122
0.869082200,0.00799830324591,3,0.0239949097377
0.884290300,0.00799973990864,3,0.0239992197259
0.901037200,0.00799943379948,3,0.0239983013984
0.915291400,0.00800093332424,3,0.0240027999727
0.931182600,0.00800027632763,3,0.0240008289829
0.946742300,0.00800157579036,3,0.0240047273711
0.962356000,0.00800012086425,3,0.0240003625928
0.977685900,0.00800228082473,3,0.0240068424742
0.992867600,0.00800138593216,3,0.0240041577965
1.008114700,0.00800077819304,3,0.0240023345791
1.023470900,0.00799583636165,3,0.0239875090849
1.039152900,6.6448962497e-06,3,1.99346887491e-05
1.054339400,5.48404350136e-06,3,1.64521305041e-05
1.070005200,4.54797329819e-06,3,1.36439198946e-05
1.085344300,4.45077511059e-06,3,1.33523253318e-05
1.100343700,5.81984174178e-06,3,1.74595252253e-05
1.116356400,5.89227493581e-06,3,1.76768248074e-05
1.131527300,3.70760744257e-06,3,1.11228223277e-05
1.146991000,1.65410073037e-06,3,4.96230219111e-06
1.162439000,4.55837834936e-06,3,1.36751350481e-05
1.177732700,5.21128552735e-06,3,1.56338565821e-05
1.193770200,2.0605815711e-06,3,6.18174471329e-06
1.209181600,3.6396833296e-06,3,1.09190499888e-05
1.224643600,5.8854900729e-06,3,1.76564702187e-05
1.239845600,4.44465928788e-06,3,1.33339778636e-05
1.255018500,5.51862385984e-06,3,1.65558715795e-05
1.270309100,9.11046150392e-06,3,2.73313845118e-05
1.285401300,8.34951552884e-06,3,2.50485465865e-05
1.300821300,7.70082488181e-06,3,2.31024746454e-05
1.315915700,6.55928953403e-06,3,1.96778686021e-05
1.331265100,6.7975851242e-06,3,2.03927553726e-05
1.346375000,4.84927987995e-06,3,1.45478396399e-05
1.361704700,5.99119952945e-06,3,1.79735985884e-05
1.377269600,7.49264301232e-06,3,2.2477929037e-05
1.392934400,9.49926897868e-06,3,2.8497806936e-05
1.408006800,5.4509414239e-06,3,1.63528242717e-05
1.423496900,3.42484906837e-06,3,1.02745472051e-05
1.439502200,9.82109691244e-06,3,2.94632907373e-05
1.455369200,5.1702059321e-06,3,1.55106177963e-05
1.471524400,7.29940334776e-06,3,2.18982100433e-05
1.487699500,5.92222470301e-06,3,1.7766674109e-05
1.503398200,5.94309026952e-06,3,1.78292708086e-05
1.519325100,5.52187808149e-06,3,1.65656342445e-05
1.534547300,4.51040714089e-06,3,1.35312214227e-05
1.549938700,1.9418362524e-06,3,5.8255087572e-06
1.565350900,6.66226122781e-06,3,1.99867836834e-05
1.580820800,4.28140262676e-06,3,1.28442078803e-05
1.596413100,7.33755587926e-06,3,2.20126676378e-05
1.611301200,6.61067942674e-06,3,1.98320382802e-05
1.626590600,4.72839768391e-06,3,1.41851930517e-05
1.642515800,4.13447328275e-06,3,1.24034198483e-05
1.657562300,4.11517749753e-06,3,1.23455324926e-05
1.673480800,2.47948141971e-06,3,7.43844425912e-06
1.688709400,2.16386064602e-06,3,6.49158193805e-06
1.703791500,9.86669129119e-06,3,2.96000738736e-05
1.719291800,5.46975174278e-06,3,1.64092552283e-05
1.735218200,8.83115844873e-06,3,2.64934753462e-05
1.751137800,7.73214185214e-06,3,2.31964255564e-05
1.766305000,6.20451907134e-06,3,1.8613557214e-05
1.781446900,5.69320901217e-06,3,1.70796270365e-05
1.797242600,3.56675626363e-06,3,1.07002687909e-05
1.812619100,5.501915478e-06,3,1.6505746434e-05
1.828552000,4.21321886153e-06,3,1.26396565846e-05
1.844620900,6.8399674523e-06,3,2.05199023569e-05
1.860283000,8.42825886974e-06,3,2.52847766092e-05
1.875387600,5.71660862575e-06,3,1.71498258773e-05
1.890891800,6.93657778338e-06,3,2.08097333501e-05
1.907261400,9.51037961022e-06,3,2.85311388307e-05
1.922757300,5.35598640454e-06,3,1.60679592136e-05
1.938189200,5.05231767139e-06,3,1.51569530142e-05
1.953695600,8.52645407119e-06,3,2.55793622136e-05
1.968810000,6.75215861227e-06,3,2.02564758368e-05
1.984693900,7.12189149713e-06,3,2.13656744914e-05
1.999741800,5.65741578365e-06,3,1.6972247351e-05
2.015724600,3.81046186031e-06,3,1.14313855809e-05
2.031633300,7.08301993271e-06,3,2.12490597981e-05
