t_s,current_a,voltage_v,power_w
0.000855900,0.00800156185535,3,0.0240046855661
0.015867600,0.008001183627,3,0.024003550881
0.031871900,0.00800289391381,3,0.0240086817414
0.046731900,0.00799708601031,3,0.0239912580309
0.061814200,0.00799970340252,3,0.0239991102076
0.077810000,0.0080007187603,3,0.0240021562809
0.093153800,0.00800153204612,3,0.0240045961384
0.108780200,0.00799696913532,3,0.0239909074059
0.123983700,0.00799899644698,3,0.0239969893409
0.139423100,0.00800081720899,3,0.024002451627
0.155634100,0.00799902940494,3,0.0239970882148
0.171079300,0.00800202592597,3,0.0240060777779
0.186688500,0.00799873971498,3,0.023996219145
0.202244600,0.00800141347968,3,0.024004240439
0.217649600,0.00800137361056,3,0.0240041208317
0.233172300,0.00800149766555,3,0.0240044929967
0.248554100,0.00800004348796,3,0.0240001304639
0.263426600,0.00800120188695,3,0.0240036056609
0.278953100,0.00799828874075,3,0.0239948662222
0.294282600,0.008002606429,3,0.024007819287
0.309380000,0.00799956831153,3,0.0239987049346
0.324996700,0.00799829744534,3,0.023994892336
0.340995000,0.00800106332578,3,0.0240031899774
0.356794800,0.00800302485145,3,0.0240090745543
0.372087000,0.00800112989367,3,0.024003389681
0.387729100,0.00800021786947,3,0.0240006536084
0.402722400,0.00800004851153,3,0.0240001455346
0.417720500,0.00799778039394,3,0.0239933411818
0.433749100,0.00799711633265,3,0.023991348998
0.449767600,0.00800131878748,3,0.0240039563624
0.465353600,0.00799568788452,3,0.0239870636536
0.481237400,0.00800093771254,3,0.0240028131376
0.497244800,0.00800140274612,3,0.0240042082384
0.513234700,0.00799992866885,3,0.0239997860066
0.528376900,0.00800015904678,3,0.0240004771404
0.543938700,0.00799841667921,3,0.0239952500376
0.559054100,0.00800405494101,3,0.024012164823
0.574942500,0.00799707546261,3,0.0239912263878
0.589979200,0.00799934422525,3,0.0239980326757
0.604952700,0.00799741031682,3,0.0239922309505
0.620039300,0.00799914637313,3,0.0239974391194
0.636037900,0.00800193666655,3,0.0240058099996
0.652023600,0.00799956634544,3,0.0239986990363
0.667004300,0.00799759483366,3,0.023992784501
0.682040500,0.00800071649297,3,0.0240021494789
0.698038700,0.00799712193321,3,0.0239913657996
0.713626100,0.00799762318041,3,0.0239928695412
0.729608500,0.00799834333364,3,0.0239950300009
0.744672300,0.00799819376615,3,0.0239945812984
0.759681300,0.00799849256509,3,0.0239954776953
0.775686100,0.00799917409255,3,0.0239975222776
0.791666700,0.00800002420867,3,0.024000072626
0.807725900,0.00800091717104,3,0.0240027515131
